word,realpseudo
totoseneian,pseudo
toy,real
tried,real
trood,pseudo
truck,real
trull,pseudo
twew,pseudo
two,real
ud,pseudo
uffive,pseudo
ujst,pseudo
umly,pseudo
underchime,pseudo
understand,real
unger,pseudo
uoy,pseudo
up,real
upending,real
utashing,pseudo
vesural,pseudo
vlei,pseudo
vosery,pseudo
waay,pseudo
want,real
wared,pseudo
warpen,pseudo
wase,pseudo
wass,pseudo
watch,real
waves,real
wawed,pseudo
ways,real
we,real
went,real
wews,pseudo
whose,real
will,real
winner,real
winter,real
wirtoul,pseudo
wist,pseudo
without,real
wndo,pseudo
woft,pseudo
wood,real
work,real
wread,pseudo
wto,pseudo
yammering,real
yes,real
yos,pseudo
you,real
ypla,pseudo
zembering,pseudo
